category,metric,workload,static_mean,static_std,static_min,static_max,static_n,adaptive_mean,adaptive_std,adaptive_min,adaptive_max,adaptive_n
UTILIZATION,Driver pool utilisation %,250,100.0,0.0,100.0,100.0,5,100.0,0.0,100.0,100.0,5
UTILIZATION,Driver pool utilisation %,500,100.0,0.0,100.0,100.0,3,100.0,0.0,100.0,100.0,3
ENVIRONMENT,Fuel consumed (L),50,17.414,1.025,15.46,18.37,5,16.658,1.33,15.26,18.8,5
ENVIRONMENT,Fuel consumed (L),100,41.21,2.054,38.27,43.84,5,39.306,1.957,36.38,42.02,5
ENVIRONMENT,Fuel consumed (L),250,41.668,2.403,38.64,45.99,5,42.214,1.88,38.87,44.68,5
ENVIRONMENT,Fuel consumed (L),500,40.41,0.972,39.04,41.19,3,41.503,1.022,40.59,42.93,3
ENVIRONMENT,Fuel saved (L),50,4.988,1.252,3.4,6.94,5,6.028,1.197,3.97,7.35,5
ENVIRONMENT,Fuel saved (L),100,14.094,0.796,13.17,15.28,5,15.678,0.627,14.9,16.58,5
ENVIRONMENT,Fuel saved (L),250,31.032,2.489,28.0,34.79,5,34.348,2.262,30.2,37.12,5
ENVIRONMENT,Fuel saved (L),500,31.703,0.521,30.97,32.13,3,33.82,1.139,32.36,35.14,3
ENVIRONMENT,CO2 emitted (kg),50,40.052,2.357,35.56,42.25,5,38.312,3.059,35.1,43.24,5
ENVIRONMENT,CO2 emitted (kg),100,94.784,4.724,88.02,100.83,5,90.402,4.504,83.67,96.65,5
ENVIRONMENT,CO2 emitted (kg),250,95.838,5.528,88.87,105.78,5,97.09,4.324,89.4,102.76,5
ENVIRONMENT,CO2 emitted (kg),500,92.943,2.237,89.79,94.74,3,95.46,2.35,93.36,98.74,3
ENVIRONMENT,CO2 saved (kg),50,11.472,2.877,7.78,15.95,5,13.87,2.78,9.07,16.94,5
ENVIRONMENT,CO2 saved (kg),100,32.446,1.821,30.37,35.15,5,36.092,1.445,34.32,38.21,5
ENVIRONMENT,CO2 saved (kg),250,71.346,5.701,64.46,79.91,5,78.998,5.203,69.45,85.36,5
ENVIRONMENT,CO2 saved (kg),500,72.923,1.21,71.23,73.98,3,77.78,2.6,74.46,80.81,3
PERFORMANCE,Pipeline runtime (s),50,0.769,0.048,0.708,0.84,5,0.869,0.025,0.83,0.899,5
PERFORMANCE,Pipeline runtime (s),100,1.183,0.029,1.13,1.209,5,1.375,0.057,1.311,1.476,5
PERFORMANCE,Pipeline runtime (s),250,2.074,0.083,1.98,2.222,5,4.931,3.82,2.904,12.57,5
PERFORMANCE,Pipeline runtime (s),500,4.382,0.334,4.087,4.85,3,7.784,0.141,7.617,7.961,3
PERFORMANCE,Processing / request (ms),50,15.378,0.959,14.15,16.8,5,17.382,0.505,16.6,17.98,5
PERFORMANCE,Processing / request (ms),100,11.832,0.293,11.3,12.09,5,13.75,0.567,13.11,14.76,5
PERFORMANCE,Processing / request (ms),250,8.298,0.333,7.92,8.89,5,19.728,15.28,11.62,50.28,5
PERFORMANCE,Processing / request (ms),500,8.763,0.67,8.17,9.7,3,15.567,0.282,15.23,15.92,3
PERFORMANCE,Batch formation (s),50,0.016,0.003,0.013,0.022,5,0.108,0.007,0.099,0.117,5
PERFORMANCE,Batch formation (s),100,0.056,0.003,0.052,0.061,5,0.224,0.014,0.196,0.232,5
PERFORMANCE,Batch formation (s),250,0.33,0.028,0.296,0.374,5,1.73,1.32,1.044,4.369,5
PERFORMANCE,Batch formation (s),500,1.391,0.076,1.299,1.485,3,4.536,0.101,4.419,4.666,3
PERFORMANCE,Routing (s),50,0.042,0.004,0.036,0.045,5,0.037,0.004,0.032,0.041,5
PERFORMANCE,Routing (s),100,0.074,0.007,0.066,0.082,5,0.074,0.004,0.069,0.081,5
PERFORMANCE,Routing (s),250,0.102,0.005,0.096,0.107,5,0.151,0.107,0.087,0.365,5
PERFORMANCE,Routing (s),500,0.087,0.004,0.084,0.092,3,0.099,0.01,0.09,0.113,3
PERFORMANCE,Driver selection (s),50,0.036,0.003,0.034,0.043,5,0.046,0.001,0.044,0.048,5
PERFORMANCE,Driver selection (s),100,0.049,0.003,0.045,0.054,5,0.07,0.003,0.066,0.074,5
PERFORMANCE,Driver selection (s),250,0.351,0.026,0.313,0.387,5,0.742,0.578,0.41,1.896,5
PERFORMANCE,Driver selection (s),500,1.023,0.104,0.93,1.168,3,1.071,0.034,1.027,1.11,3
PERFORMANCE,Decision gate (s),50,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
PERFORMANCE,Decision gate (s),100,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
PERFORMANCE,Decision gate (s),250,0.0,0.0,0.0,0.001,5,0.0,0.0,0.0,0.001,5
PERFORMANCE,Decision gate (s),500,0.001,0.0,0.001,0.001,3,0.001,0.0,0.001,0.001,3
PERFORMANCE,Persistence (s),50,0.062,0.009,0.05,0.075,5,0.063,0.008,0.053,0.075,5
PERFORMANCE,Persistence (s),100,0.116,0.003,0.112,0.12,5,0.123,0.007,0.114,0.133,5
PERFORMANCE,Persistence (s),250,0.149,0.009,0.135,0.161,5,0.251,0.177,0.148,0.605,5
PERFORMANCE,Persistence (s),500,0.186,0.01,0.176,0.199,3,0.195,0.009,0.186,0.208,3
PERFORMANCE,Learning (s),50,0.0,0.0,0,0,5,0.0,0.0,0,0,5
PERFORMANCE,Learning (s),100,0.0,0.0,0,0,5,0.0,0.0,0,0,5
PERFORMANCE,Learning (s),250,0.0,0.0,0,0,5,0.0,0.0,0,0,5
PERFORMANCE,Learning (s),500,0.0,0.0,0,0,3,0.0,0.0,0,0,3
